id,tipo_doc,titulo,autor,anio,nombre_revista_compilacion,url,editorial_institucion,lugar,temas,img,file_img
1,journalArticle,Internet e intranet en la comunicacion empresarial: la comunicacion virtual en la empresa,"Vino, Mauro",1997,Revista Ciencia y Cultura,http://www.scielo.org.bo/pdf/rcc/n1/a10.pdf,,,"economía,empresa",https://labtecnosocial.org/explora-bib/digital/vino1997.png,vino1997.png
2,magazineArticle,Hilando mapas de solidaridad con hilos virtuales,"Bustillos, Nidia",2003,Asuntos Indígenas 2/03 - Pueblos Indígenas y las Nuevas Tecnologías de Información,https://www.iwgia.org/images/publications/AI_2_03.pdf,,,"indigenas,interculturalidad",https://labtecnosocial.org/explora-bib/digital/bustillos2003.png,bustillos2003.png
3,book,Interculturalismo y globalización: La bolivia posible,"Calderón, Fernando",2004,,https://www.researchgate.net/publication/325676674_Interculturalismo_y_Globalizacion_Informe_Nacional_de_Desarrollo_Humano_2004_la_Bolivia_Posible,PNUD,La Paz,"general,globalización,inteculturalidad",https://labtecnosocial.org/explora-bib/digital/calderon2004.png,calderon2004.png
4,book,Jóvenes.com: internet en los barrios populares de Cochabamba,"Arratia, Orlando; Uberhuaga, Patricia; García, Mariela",2006,,https://www.academia.edu/44305761,PIEB,La Paz,"sociedad civil,barrios populares,juventud",https://labtecnosocial.org/explora-bib/digital/arratia2006.png,arratia2006.png
5,journalArticle,Prácticas comunicativas de los adolescentes cochabambinos en la mensajería instantánea y su relación con la configuración de sus identidades individuales,"Martinez, Samuel",2006,Punto Cero,http://www.scielo.org.bo/pdf/rpc/v11n13/v11n13a04.pdf,,,"sociedad civil,chat,identidad",https://labtecnosocial.org/explora-bib/digital/martinez2006.png,martinez2006.png
6,journalArticle,"De receptor a emisor, construcción de ciudadanía en un nuevo paradigma","Guardia, Marcelo",2008,Punto Cero,http://www.scielo.org.bo/pdf/rpc/v13n16/v13n16a07.pdf,,,"sociedad civil,ciudadanía,comunicación",https://labtecnosocial.org/explora-bib/digital/guardia2008.png,guardia2008.png
7,journalArticle,Brecha digital y juventud en Cochabamba. Desigualdades en el acceso y uso de nuevas tecnologías,"Aldana, Marlene Choque",2009,Punto Cero. Universidad Católica Boliviana,http://www.scielo.org.bo/pdf/rpc/v14n19/v14n19a04.pdf,,,"acceso,brecha digital,juventud",https://labtecnosocial.org/explora-bib/digital/aldana2009.png,aldana2009.png
8,report,Bolivia: avances y desafíos para el acceso universal a banda ancha,"Arratia, Orlando D",2009,,https://www.apc.org/sites/default/files/CILACInvestigacionBolivia_20090707_0.pdf,,,"acceso,banda ancha",https://labtecnosocial.org/explora-bib/digital/arratia2009.jpeg,arratia2009.jpeg
9,journalArticle,Estrategia empresarial basada en tecnologías de informacíon y comunicaciones,"Rada, María Renée",2009,Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia,http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2009000100004&lng=es&nrm=iso&tlng=es,,,"economía,empresa",https://labtecnosocial.org/explora-bib/digital/rada2009.png,rada2009.png
10,book,Políticas culturales diagnóstico para la generación de iniciativas culturales para el departamento de cochabamba,"Ramirez, Alejandra; Sanchez, Walter",2009,,https://es.scribd.com/document/173541878/Politicas-culturales-Diagnostico-para-la-generacion-de-iniciativas-culturales-en-Cochabamba,Gente Común,Cochabamba,"acceso,cultura",https://labtecnosocial.org/explora-bib/digital/ramirez2016.png,ramirez2016.png
11,journalArticle,Convergencia mediática en la acción social. Tecnología y movilización callejera en bolivia,"Choque, Marlene",2010,Dialogos Transdisciplinarios en la Sociedad de la Información,http://portaldoprofessor.mec.gov.br/storage/materiais/0000013486.pdf,,,"sociedad civil,accion colectiva",https://labtecnosocial.org/explora-bib/digital/choque2010.jpeg,choque2010.jpeg
12,journalArticle,"Organización, teletrabajo y redes. En el limbo entre lo social y lo económico","Infantas, Karen",2010,Diálogos Transdisciplinarios en la Sociedad de la Información 1,http://portaldoprofessor.mec.gov.br/storage/materiais/0000013486.pdf,,,"economia,trabajo",https://labtecnosocial.org/explora-bib/digital/infantas2010.jpeg,infantas2010.jpeg
13,journalArticle,Normativa en tecnologías de la información y la comunicación en la sociedad de la información de Bolivia,"Medinaceli, Karina",2010,Diálogos Transdisciplinarios en la Sociedad de la Información 1,http://portaldoprofessor.mec.gov.br/storage/materiais/0000013486.pdf,,,derechos digitales,https://labtecnosocial.org/explora-bib/digital/medinaceli2010.jpeg,medinaceli2010.jpeg
14,journalArticle,La empresa privada y el desarrollo de la sociedad de la información.,"Rendón, Alejandro",2010,Diálogos Transdisciplinarios en la Sociedad de la Información 1,http://portaldoprofessor.mec.gov.br/storage/materiais/0000013486.pdf,,,empresa,https://labtecnosocial.org/explora-bib/digital/rendon2010.jpeg,rendon2010.jpeg
15,journalArticle,La descolonización digital y el movimiento de software libre en Bolivia,"Terceros, Iván",2010,Diálogos Transdisciplinarios en la Sociedad de la Información 1,http://portaldoprofessor.mec.gov.br/storage/materiais/0000013486.pdf,,,movimientos,https://labtecnosocial.org/explora-bib/digital/terceros2010.jpeg,terceros2010.jpeg
16,journalArticle,Uso de tecnologías de la información y comunicaciones (TICS) en las PyMES de Santa Cruz de la Sierra,"Infantas, Karen; Torrez, Elias",2012,,https://es.slideshare.net/kinfantas/boletin-6-3,,,"economía,empresa,pymes",https://labtecnosocial.org/explora-bib/digital/infantas2012.png,infantas2012.png
17,document,Gobierno electrónico: el uso real de instrumentos virtuales en el Parlamento Boliviano,"Ascarrunz, Julio",2013,,https://www.academia.edu/3997164/Gobierno_electr%C3%B3nico_el_uso_real_de_instrumentos_virtuales_en_el_Parlamento_Boliviano,,,"política,gobierno electrónico",https://labtecnosocial.org/explora-bib/digital/ascarrunz2013.png,ascarrunz2013.png
